"Year","replacecolumns","from","to"
1993,"label_cause","152","ncd_lri"
1994,"label_cause","152","ncd_lri"
1995,"label_cause","152","ncd_lri"
1996,"label_cause","152","ncd_lri"
1997,"label_cause","152","ncd_lri"
1998,"label_cause","152","ncd_lri"
1990,"label_cause","153","ncd_lri"
1991,"label_cause","153","ncd_lri"
1992,"label_cause","153","ncd_lri"
1993,"label_cause","153","ncd_lri"
1994,"label_cause","153","ncd_lri"
1995,"label_cause","153","ncd_lri"
1996,"label_cause","153","ncd_lri"
1997,"label_cause","153","ncd_lri"
1998,"label_cause","153","ncd_lri"
1990,"label_cause","154","ncd_lri"
1991,"label_cause","154","ncd_lri"
1992,"label_cause","154","ncd_lri"
1993,"label_cause","154","ncd_lri"
1994,"label_cause","154","ncd_lri"
1995,"label_cause","154","ncd_lri"
1996,"label_cause","154","ncd_lri"
1997,"label_cause","154","ncd_lri"
1998,"label_cause","154","ncd_lri"
1990,"label_cause","155","ncd_lri"
1991,"label_cause","155","ncd_lri"
1992,"label_cause","155","ncd_lri"
1993,"label_cause","155","ncd_lri"
1994,"label_cause","155","ncd_lri"
1995,"label_cause","155","ncd_lri"
1996,"label_cause","155","ncd_lri"
1997,"label_cause","155","ncd_lri"
1998,"label_cause","155","ncd_lri"
1990,"label_cause","156","ncd_lri"
1991,"label_cause","156","ncd_lri"
1992,"label_cause","156","ncd_lri"
1993,"label_cause","156","ncd_lri"
1994,"label_cause","156","ncd_lri"
1995,"label_cause","156","ncd_lri"
1996,"label_cause","156","ncd_lri"
1997,"label_cause","156","ncd_lri"
1998,"label_cause","156","ncd_lri"
1990,"label_cause","157","ncd_lri"
1991,"label_cause","157","ncd_lri"
1992,"label_cause","157","ncd_lri"
1993,"label_cause","157","ncd_lri"
1994,"label_cause","157","ncd_lri"
1995,"label_cause","157","ncd_lri"
1996,"label_cause","157","ncd_lri"
1997,"label_cause","157","ncd_lri"
1998,"label_cause","157","ncd_lri"
1990,"label_cause","158","ncd_lri"
1991,"label_cause","158","ncd_lri"
1992,"label_cause","158","ncd_lri"
1993,"label_cause","158","ncd_lri"
1994,"label_cause","158","ncd_lri"
1995,"label_cause","158","ncd_lri"
1996,"label_cause","158","ncd_lri"
1997,"label_cause","158","ncd_lri"
1998,"label_cause","158","ncd_lri"
1990,"label_cause","159","ncd_lri"
1991,"label_cause","159","ncd_lri"
1992,"label_cause","159","ncd_lri"
1993,"label_cause","159","ncd_lri"
1994,"label_cause","159","ncd_lri"
1995,"label_cause","159","ncd_lri"
1996,"label_cause","159","ncd_lri"
1997,"label_cause","159","ncd_lri"
1998,"label_cause","159","ncd_lri"
1990,"label_cause","160","ncd_lri"
1991,"label_cause","160","ncd_lri"
1992,"label_cause","160","ncd_lri"
1993,"label_cause","160","ncd_lri"
1994,"label_cause","160","ncd_lri"
1995,"label_cause","160","ncd_lri"
1996,"label_cause","160","ncd_lri"
1997,"label_cause","160","ncd_lri"
1998,"label_cause","160","ncd_lri"
1990,"label_cause","161","ncd_lri"
1991,"label_cause","161","ncd_lri"
1992,"label_cause","161","ncd_lri"
1993,"label_cause","161","ncd_lri"
1994,"label_cause","161","ncd_lri"
1995,"label_cause","161","ncd_lri"
1996,"label_cause","161","ncd_lri"
1997,"label_cause","161","ncd_lri"
1998,"label_cause","161","ncd_lri"
1990,"label_cause","162","ncd_lri"
1991,"label_cause","162","ncd_lri"
1992,"label_cause","162","ncd_lri"
1993,"label_cause","162","ncd_lri"
