"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"2 years"	"2"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2231121
	"2 years"	"2"	"2007"	"2007"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	858752
	"2 years"	"2"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2181864
	"2 years"	"2"	"2008"	"2008"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	883144
	"2 years"	"2"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2168784
	"2 years"	"2"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	917202
	"2 years"	"2"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2186038
	"2 years"	"2"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	914734
	"2 years"	"2"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2162398
	"2 years"	"2"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	887419
	"2 years"	"2"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2097134
	"2 years"	"2"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	904766
	"2 years"	"2"	"2012"	"2012"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2086419
	"2 years"	"2"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	922577
	"2 years"	"2"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2084872
	"2 years"	"2"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	894801
	"2 years"	"2"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2070504
	"2 years"	"2"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	891138
	"2 years"	"2"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2066438
	"2 years"	"2"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	896738
	"2 years"	"2"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2077525
	"3 years"	"3"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	671545
	"3 years"	"3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2305296
	"3 years"	"3"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	679944
	"3 years"	"3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2276394
