"FIPS.code","rural_urban_class","fromYear"
8119,1,1990
8037,3,2000
8097,3,2000
8037,3,1990
8097,3,1990
8041,2,2000
8039,2,2000
8101,2,2000
8039,2,1990
8041,2,1990
8101,2,1990
8043,3,2000
8027,3,2000
8027,3,1990
8043,3,1990
8049,3,2000
8049,3,1990
8079,3,2000
8079,3,1990
8055,3,2000
8023,3,2000
8023,3,1990
8055,3,1990
8057,3,2000
8057,3,1990
8047,1,2000
8047,1,1990
8063,3,2000
8017,3,2000
8017,3,1990
8063,3,1990
8065,3,2000
8065,3,1990
8067,3,2000
8083,3,2000
8067,3,1990
8083,3,1990
8069,2,2000
8013,2,2000
8013,2,1990
8069,2,1990
8071,3,2000
8071,3,1990
8121,3,2000
8121,3,1990
8077,2,2000
8045,2,2000
8045,2,1990
8077,2,1990
8081,3,2000
8103,3,2000
8081,3,1990
8103,3,1990
8085,3,2000
8029,3,2000
8051,3,2000
8029,3,1990
8051,3,1990
8085,3,1990
8089,3,2000
8089,3,1990
8091,3,2000
8053,3,2000
8053,3,1990
8091,3,1990
8095,3,2000
8095,3,1990
8099,3,2000
8099,3,1990
8105,3,2000
8107,3,2000
8107,3,1990
8109,3,2000
8109,3,1990
8111,3,2000
8111,3,1990
8113,3,2000
8113,3,1990
8115,3,2000
8115,3,1990
8117,3,2000
8093,3,2000
8093,3,1990
8117,3,1990
8075,2,2000
8087,2,2000
8075,2,1990
8087,2,1990
8125,3,2000
8125,3,1990
9001,2,2000
9005,2,2000
9001,2,1990
9005,2,1990
9003,1,2000
9003,1,1990
9009,2,2000
9007,2,2000
9007,2,1990
9009,2,1990
9011,2,2000
9011,2,1990
9013,1,2000
9013,1,1990
9015,2,2000
9015,2,1990
10001,2,2000
10001,2,1990
10003,1,2000
10003,1,1990
10005,2,2000
10005,2,1990
11001,1,2000
11001,1,1990
12003,1,2000
12125,1,2000
12003,1,1990
12125,1,1990
12005,2,2000
12013,2,2000
12005,2,1990
12013,2,1990
12007,3,2000
12007,3,1990
12009,2,2000
12097,2,2000
12009,2,1990
12097,2,1990
12099,1,2000
12099,1,1990
12017,2,2000
12017,2,1990
12019,1,2000
12019,1,1990
12021,2,2000
12021,2,1990
12023,3,2000
12023,3,1990
12027,3,2000
12027,3,1990
12029,3,2000
12029,3,1990
12031,1,2000
12031,1,1990
12033,2,2000
12033,2,1990
12035,2,2000
12035,2,1990
12039,2,2000
12077,2,2000
12039,2,1990
12077,2,1990
12041,2,2000
12041,2,1990
12045,2,2000
12037,2,2000
12037,2,1990
12045,2,1990
12047,3,2000
12047,3,1990
12049,3,2000
12049,3,1990
12051,3,2000
12051,3,1990
12053,1,2000
12053,1,1990
12055,2,2000
12043,2,2000
12043,2,1990
12055,2,1990
12057,1,2000
12105,1,2000
12101,1,2000
12057,1,1990
12101,1,1990
12105,1,1990
12059,3,2000
12059,3,1990
12061,2,2000
12061,2,1990
12063,3,2000
12133,3,2000
12063,3,1990
12133,3,1990
12065,2,2000
12065,2,1990
12067,3,2000
12067,3,1990
12119,1,2000
12119,1,1990
12071,2,2000
12071,2,1990
12073,2,2000
12073,2,1990
12079,3,2000
12079,3,1990
12081,2,2000
12081,2,1990
12075,2,2000
12083,2,2000
12001,2,2000
12001,2,1990
12075,2,1990
12083,2,1990
12086,1,2000
12011,1,2000
12011,1,1990
12025,1,1990
12087,3,2000
12087,3,1990
12089,1,2000
12089,1,1990
12091,2,2000
12113,2,2000
12091,2,1990
12113,2,1990
12095,1,2000
12117,1,2000
12069,1,2000
12069,1,1990
12095,1,1990
12117,1,1990
12085,1,2000
12085,1,1990
12103,1,2000
12103,1,1990
12109,1,2000
12109,1,1990
12111,2,2000
12093,2,2000
12093,2,1990
12111,2,1990
12115,2,2000
12015,2,2000
12015,2,1990
12115,2,1990
12121,3,2000
12121,3,1990
12123,3,2000
12123,3,1990
12127,2,2000
12107,2,2000
12107,2,1990
12127,2,1990
12129,2,2000
12129,2,1990
12131,2,2000
12131,2,1990
13007,2,2000
13007,2,1990
13009,3,2000
13141,3,2000
13319,3,2000
13009,3,1990
13141,3,1990
13319,3,1990
13013,1,2000
13013,1,1990
13015,1,2000
13129,1,2000
13233,1,2000
13015,1,1990
13129,1,1990
13233,1,1990
13021,2,2000
13289,2,2000
13021,2,1990
13289,2,1990
13029,2,2000
13029,2,1990
13031,3,2000
13043,3,2000
13031,3,1990
13043,3,1990
13033,2,2000
13163,2,2000
13165,2,2000
13033,2,1990
13163,2,1990
13165,2,1990
13039,3,2000
13039,3,1990
13045,1,2000
13143,1,2000
13045,1,1990
13143,1,1990
13051,2,2000
13051,2,1990
13053,2,2000
13053,2,1990
13055,3,2000
13057,1,2000
13117,1,2000
13057,1,1990
13117,1,1990
13059,2,2000
13195,2,2000
13059,2,1990
13195,2,1990
13061,3,2000
13061,3,1990
13063,1,2000
13063,1,1990
13101,3,2000
13101,3,1990
13067,1,2000
13097,1,2000
13067,1,1990
13097,1,1990
13069,3,2000
13161,3,2000
13017,3,2000
13299,3,2000
13017,3,1990
13069,3,1990
13161,3,1990
13299,3,1990
13071,3,2000
13205,3,2000
13071,3,1990
13205,3,1990
13073,2,2000
13073,2,1990
13075,3,2000
13075,3,1990
13077,1,2000
13077,1,1990
13093,3,2000
13081,3,2000
13081,3,1990
13093,3,1990
13083,2,2000
13083,2,1990
13087,3,2000
13087,3,1990
13095,2,2000
13321,2,2000
13095,2,1990
13321,2,1990
13037,3,2000
13099,3,2000
13037,3,1990
13099,3,1990
13103,2,2000
13103,2,1990
